DATAFLOW,LAST UPDATE,freq,unit,ind_use,stk_flow,prd_ava,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2014,5242.71,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2015,5428.56,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2016,5484.65,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2017,5708.93,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2018,5867.89,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2019,5887.25,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2020,6129.89,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2010,207694.31,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2011,228094.06,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2012,225354.87,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2013,226958.26,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2014,233475.69,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2015,242970.96,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2016,245264.82,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2017,252605.76,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2018,260772.96,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area - 19 countries  (2015-2022),2019,266008.65,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2010,209706.46,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2011,229793.06,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2012,227218.55,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2013,229001.54,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2014,231482.42,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2015,238709.68,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2016,242454.37,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2017,256400.21,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2018,262713.56,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2019,261314.08,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2020,241820.36,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2021,288215.91,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Euro area – 20 countries (from 2023),2022,330075.25,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2010,576.1,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2011,689.99,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2012,754.97,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2013,769.41,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2014,790.03,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2015,854.18,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2016,891.55,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2017,944.55,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Estonia,2018,1030.41,,
