DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2012,47590,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2013,64657,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2014,65955,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2015,61125,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2016,64601,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2017,65799,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2018,55393,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2019,57467,b,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2020,53602,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2021,50084,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2022,45631,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2010,221500,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2011,207770,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2012,184920,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2013,181500,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2014,184400,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2015,183800,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2016,186600,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2017,188200,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2018,202100,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2019,222600,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2021,275800,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Greece,2022,257300,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2010,1397689,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2011,1355155,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2012,1304464,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2013,1305579,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2014,1418487,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2015,1474731,,
