DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2012,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2014,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2016,23,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2018,23,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2020,29,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2022,51,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Bulgaria,2010,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Bulgaria,2012,8,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Bulgaria,2014,28,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Bulgaria,2016,31,,
