DECL_LAB,PERIOD_LAB,PRCCODE_LAB,INDICATORS_LAB,INDICATOR_VALUE
"United Kingdom","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"United Kingdom","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"United Kingdom","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",411421236
"United Kingdom","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"United Kingdom","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"United Kingdom","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",574191069
"United Kingdom","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"United Kingdom","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:C
"United Kingdom","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",631631384
"United Kingdom","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"United Kingdom","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"United Kingdom","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",552525194
"Ireland","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",5958054
"Ireland","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",2857071
"Ireland","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",4647766
"Ireland","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
