DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Germany,2018,1996911,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Germany,2020,2178290,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Germany,2022,2280653,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2010,68473,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2012,69711,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2014,60423,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2016,71840,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2018,58207,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2020,71652,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2022,55214,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2010,2111,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2012,2888,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2014,10059,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2016,9923,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2018,19682,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2020,24841,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2022,19257,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2010,27339,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2012,29292,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2014,38113,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2016,39020,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2018,35210,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2020,63487,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2022,54619,p,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2010,1151087,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2012,1062072,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2014,948414,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2016,594823,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2018,645349,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2020,564975,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2022,692139,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2010,6170000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2012,6810000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2014,8100000,,
