DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2023,40803004,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2010,92105073,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2011,112505964,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2012,112911600,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2013,105204756,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2014,93206710,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2015,90275050,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2016,64501880,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2017,56723104,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2018,57784811,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2019,53883621,
