DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Croatia,2019,24368,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Croatia,2020,22453,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Croatia,2021,24185,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Croatia,2022,25945,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2004,23100,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2005,36111,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2006,40407,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2007,37232,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2008,53984,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2009,56283,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2010,68625,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2011,77797,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2012,71314,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2013,84972,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2014,95090,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2015,81993,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2016,97164,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2017,100902,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2018,102055,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2019,113059,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2020,115214,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2021,115717,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Hungary,2022,118305,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2001,20447,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2002,29345,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2003,34840,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2004,47292,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2005,52586,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2006,53147,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2007,52784,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2008,71781,i,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2009,81175,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2010,73842,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2011,75366,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2012,68147,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2013,82266,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2014,97824,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2015,95890,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2016,98238,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2017,94889,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Ireland,2018,81901,,
