DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2018,101.1,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2019,101.4,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2020,93.1,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2021,100.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2022,90.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2023,90.3,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Greece,2024,77.1,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2002,110.8,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2003,110.4,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2004,118.7,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2005,119.2,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2006,123.3,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2007,118.0,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2008,102.3,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2009,83.3,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2010,91.8,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2011,94.7,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2012,87.5,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2013,86.4,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2014,93.0,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2015,97.5,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2016,99.1,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2017,102.6,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2018,100.7,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2019,93.0,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2020,90.9,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2021,100.0,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2022,89.9,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2023,80.5,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Spain,2024,84.2,p,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2001,99.4,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2002,101.6,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2003,95.9,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2004,99.6,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2005,103.1,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2006,107.1,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2007,109.6,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2008,103.3,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2009,89.6,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2010,101.1,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2011,99.6,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2012,97.7,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2013,98.4,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2014,95.4,i,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2015,96.1,,
