DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2021-09,651178.69,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2021-10,656453.12,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2021-11,743353.22,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2021-12,629821.84,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-01,594733.16,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-02,620812.62,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-03,750855.10,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-04,681516.66,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-05,765590.34,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-06,813106.35,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-07,717497.41,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-08,746195.71,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-09,709077.25,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-10,620655.41,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-11,683719.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2022-12,472739.07,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Monthly,"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Extra-EU (= 'WORLD' - 'EU_INTRA'),"Waste, parings and scrap, of plastics",IMPORT,QUANTITY_IN_100KG,2023-01,526789.39,
