DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2023,2492528.31,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2010,155301.16,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2011,150803.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2012,115862.92,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2013,208783.56,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2014,173045.32,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2015,206235.90,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2016,142195.60,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2017,207562.20,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2018,317137.77,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2019,482353.98,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2020,467344.19,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2021,684446.79,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2022,1352815.75,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2023,1175024.46,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2010,145193.99,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2011,168860.72,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2012,181655.98,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2013,172138.06,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2014,161112.43,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2015,136978.30,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2016,158687.55,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2017,272677.87,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2018,408197.09,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2019,511386.42,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2020,474034.46,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2021,404197.00,
