DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2015,27.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2016,24.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2017,26.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2018,37.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2019,40.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2020,40.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2021,42.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2022,44.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2010,30.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2011,33,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2012,32.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2013,32.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2014,32.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2015,36.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2016,38.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2017,41.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2018,39.8,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2019,37.6,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2021,37.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Greece,2022,31.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2010,29.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2011,32.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2012,35.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2013,40.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2014,42.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2015,44,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2016,45.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2017,47.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2018,50.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2019,51.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2020,51.4,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2021,54.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Spain,2022,51.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2010,34.1,i,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2011,35.6,i,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2012,37,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2013,37.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2014,39,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2015,40.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2016,42.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2017,41.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2018,41.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2019,41.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2020,37.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2021,40.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),2022,40.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2010,26.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2011,25.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2012,25.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2013,22.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2014,24.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2015,23.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2016,25.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2017,26.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2018,31.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2019,42,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2020,39.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2021,42.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Finland,2022,44.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2010,23.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2011,23.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2012,25.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2013,25.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2014,25.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2015,25.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2016,25.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2017,26.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2018,26.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2019,26.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2020,21.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2021,23.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,France,2022,25.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2012,45.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2013,45.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2014,37.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2015,46.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2016,41.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2017,37.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2018,37.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2019,35.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2020,34.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2021,34.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Croatia,2022,34.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2010,32.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2011,22.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2012,27.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2013,30.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2014,36.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2015,27.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2016,31.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2017,32,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2018,30,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2019,33,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2020,24.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2021,27.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Hungary,2022,27.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2010,39.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2011,47.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2012,38.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2013,34.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2014,31.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2015,29.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2016,31.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2017,30.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2018,27.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2019,27.5,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Ireland,2020,29,,
